team,puntos_totales,puntos_por_partido,rebotes_totales,rebotes_por_partido,asistencias_totales,asistencias_por_partido,robos_totales,robos_por_partido,faltas_totales,faltas_por_partido,triples_totales,triples_por_partido,dobles_totales,dobles_por_partido,libres_totales,libres_por_partido,score_global,score_global_por_partido,partidos_jugados,dispersion_promedio
ALMAGRO PHANTOMS,414,51.75,316,39.5,48,6.0,66,8.25,114,14.25,31,3.875,143,17.875,35,4.375,844,105.5,8,9.186264855402754
ARQUISHOWLEM,250,62.5,158,39.5,25,6.25,38,9.5,70,17.5,21,5.25,75,18.75,37,9.25,471,117.75,4,9.81880733733746
ASADO CUMPLE,282,56.4,211,42.2,46,9.2,41,8.2,73,14.6,37,7.4,64,12.8,43,8.6,580,116.0,5,6.247531709686296
ASOCIACION DE ATLETAS,252,63.0,182,45.5,41,10.25,38,9.5,52,13.0,24,6.0,81,20.25,18,4.5,513,128.25,4,9.40388043026586
BARRILETE CÓSMICO,169,42.25,170,42.5,28,7.0,29,7.25,63,15.75,19,4.75,43,10.75,26,6.5,396,99.0,4,7.976394328708716
BARSEDLONA,228,57.0,198,49.5,38,9.5,35,8.75,54,13.5,25,6.25,63,15.75,27,6.75,499,124.75,4,10.33682920392122
BASKET GESTION,363,72.6,203,40.6,57,11.4,62,12.4,82,16.4,45,9.0,98,19.6,32,6.4,685,137.0,5,9.1810825250293
BAZOOKA,531,59.0,368,40.888888888888886,90,10.0,97,10.777777777777779,137,15.222222222222221,37,4.111111111111111,168,18.666666666666668,84,9.333333333333334,1086,120.66666666666667,9,9.859464724089417
BILLIKEN,205,51.25,157,39.25,14,3.5,36,9.0,57,14.25,12,3.0,66,16.5,37,9.25,412,103.0,4,9.212343178257557
BIRRA RAPTORS,156,39.0,135,33.75,28,7.0,29,7.25,57,14.25,18,4.5,42,10.5,18,4.5,348,87.0,4,7.951160147753994
BLACK SHISUS,243,48.6,169,33.8,25,5.0,35,7.0,85,17.0,33,6.6,52,10.4,40,8.0,472,94.4,5,6.308908952466669
BLACK TEAM,224,56.0,147,36.75,11,2.75,32,8.0,62,15.5,28,7.0,53,13.25,34,8.5,414,103.5,4,6.395993165012463
BLUCERCHIATI,195,48.75,155,38.75,48,12.0,26,6.5,60,15.0,26,6.5,49,12.25,19,4.75,424,106.0,4,8.048978278146304
BOEDO FIRE,80,40.0,61,30.5,10,5.0,15,7.5,18,9.0,7,3.5,24,12.0,11,5.5,166,83.0,2,6.149168267987549
CA ESTUDION,244,61.0,210,52.5,29,7.25,40,10.0,67,16.75,24,6.0,67,16.75,38,9.5,523,130.75,4,10.059102705061758
CA PELEACHE,293,58.6,223,44.6,64,12.8,52,10.4,64,12.8,23,4.6,96,19.2,32,6.4,632,126.4,5,10.633303937004676
CASANOVA CITY,128,64.0,71,35.5,26,13.0,33,16.5,8,4.0,9,4.5,47,23.5,7,3.5,258,129.0,2,7.876247871499244
CATAPULTA,104,26.0,137,34.25,21,5.25,33,8.25,55,13.75,3,0.75,44,11.0,7,1.75,295,73.75,4,5.098517738368066
CHAD-STARS,240,60.0,162,40.5,29,7.25,42,10.5,71,17.75,20,5.0,74,18.5,32,8.0,473,118.25,4,10.557176598203014
CHARRUAS,115,38.333333333333336,107,35.666666666666664,16,5.333333333333333,18,6.0,29,9.666666666666666,9,3.0,37,12.333333333333334,14,4.666666666666667,256,85.33333333333333,3,6.10751423020244
CHICAGO BALLS,221,55.25,172,43.0,34,8.5,38,9.5,52,13.0,10,2.5,83,20.75,25,6.25,465,116.25,4,8.078489916949412
CLUB CARLOS CASARES,190,47.5,164,41.0,30,7.5,38,9.5,72,18.0,15,3.75,62,15.5,21,5.25,422,105.5,4,9.376778773861187
CLUB PRIMERA JUNTA,260,52.0,201,40.2,57,11.4,28,5.6,78,15.6,29,5.8,69,13.8,35,7.0,546,109.2,5,8.117275858584028
CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,157,39.25,170,42.5,22,5.5,20,5.0,67,16.75,18,4.5,41,10.25,21,5.25,369,92.25,4,4.5261272209675845
CLUTCH PLANET,200,50.0,172,43.0,25,6.25,35,8.75,76,19.0,23,5.75,45,11.25,41,10.25,432,108.0,4,10.609345437013566
COSA NOSTRA,178,59.333333333333336,119,39.666666666666664,30,10.0,27,9.0,45,15.0,13,4.333333333333333,59,19.666666666666668,21,7.0,354,118.0,3,9.424949110159297
