player,puntos_totales,puntos_por_partido,rebotes_totales,rebotes_por_partido,asistencias_totales,asistencias_por_partido,robos_totales,robos_por_partido,faltas_totales,faltas_por_partido,triples_totales,triples_por_partido,dobles_totales,dobles_por_partido,libres_totales,libres_por_partido,score_global,score_global_por_partido,partidos_jugados,participacion_ofensiva_promedio,participacion_defensiva_promedio
 Ezequiel Jedvabnik ,0,0.0,2,2.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,2,2.0,1,0.0,0.043478260869565216
 Francisco Leiva	,2,1.0,3,1.5,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,0,0.0,5,2.5,2,0.02,0.03409090909090909
 Matias Landsberg,7,3.5,4,2.0,0,0.0,1,0.5,2,1.0,1,0.5,2,1.0,0,0.0,12,6.0,2,0.06464285714285714,0.040178571428571425
",Jose Antonio Escalante	",0,0.0,7,1.75,1,0.25,0,0.0,6,1.5,0,0.0,0,0.0,0,0.0,8,2.0,4,0.004901960784313725,0.034835796387520525
ABRAHAM JORGE,3,3.0,5,5.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,1,1.0,8,8.0,1,0.05,0.08928571428571429
ACOSTA LEANDRO	,13,4.333333333333333,10,3.3333333333333335,3,1.0,4,1.3333333333333333,6,2.0,4,1.3333333333333333,0,0.0,1,0.3333333333333333,30,10.0,3,0.10543900543900543,0.08838383838383838
"ACOSTA, GONZALO",33,11.0,23,7.666666666666667,1,0.3333333333333333,3,1.0,2,0.6666666666666666,5,1.6666666666666667,8,2.6666666666666665,2,0.6666666666666666,60,20.0,3,0.23006803494608374,0.15694444444444444
ALBERTO FACUNDO SANTOME REY,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,2,0.0,0.00980392156862745
ALEXANDER LOPEZ,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5,3,1.5,2,0.015151515151515152,0.023255813953488372
ALEXIS NAHUEL ROJAS,8,2.6666666666666665,18,6.0,1,0.3333333333333333,5,1.6666666666666667,2,0.6666666666666666,0,0.0,4,1.3333333333333333,0,0.0,32,10.666666666666666,3,0.053418803418803416,0.14798268238761975
ALFREDO TUCCI,4,1.3333333333333333,4,1.3333333333333333,2,0.6666666666666666,4,1.3333333333333333,2,0.6666666666666666,0,0.0,2,0.6666666666666666,0,0.0,14,4.666666666666667,3,0.054031768317482604,0.06436382906971143
ALVAREZ HERNANDEZ NICOLAS	,6,6.0,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,2,2.0,9,9.0,1,0.14634146341463414,0.06
AMBROSIO ARIZU	,3,3.0,7,7.0,1,1.0,1,1.0,0,0.0,0,0.0,1,1.0,1,1.0,12,12.0,1,0.08,0.1702127659574468
"ASIAIN, FRANCISCO",6,6.0,3,3.0,1,1.0,1,1.0,2,2.0,0,0.0,3,3.0,0,0.0,11,11.0,1,0.1794871794871795,0.08333333333333333
"AUGUSTO, FERNANDO",5,1.25,13,3.25,2,0.5,4,1.0,8,2.0,1,0.25,1,0.25,0,0.0,24,6.0,4,0.04162402638012394,0.08412878787878789
Aaron Przybytek,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,0.0,0.02127659574468085
Abduch Nehuen,5,1.6666666666666667,6,2.0,2,0.6666666666666666,3,1.0,2,0.6666666666666666,1,0.3333333333333333,1,0.3333333333333333,0,0.0,16,5.333333333333333,3,0.03482587064676617,0.06069546635584372
Acosta Adan,3,3.0,1,1.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,5,5.0,1,0.047619047619047616,0.04
"Adamini, Jonathan Adrián",6,6.0,5,5.0,2,2.0,0,0.0,5,5.0,0,0.0,3,3.0,0,0.0,13,13.0,1,0.12307692307692308,0.10869565217391304
Adan acosta,27,6.75,11,2.75,5,1.25,5,1.25,15,3.75,7,1.75,3,0.75,0,0.0,48,12.0,4,0.10874563003495971,0.07812338222605694
Adolfo Rocha,2,2.0,2,2.0,1,1.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,5,5.0,1,0.058823529411764705,0.03125
Adolfo Rodríguez,3,3.0,8,8.0,0,0.0,0,0.0,2,2.0,0,0.0,1,1.0,1,1.0,11,11.0,1,0.05555555555555555,0.16326530612244897
Adonis Gómez,13,6.5,4,2.0,2,1.0,2,1.0,5,2.5,1,0.5,5,2.5,0,0.0,21,10.5,2,0.2521551724137931,0.08494208494208494
Adrian Neri Bondaruk,6,3.0,14,7.0,0,0.0,0,0.0,3,1.5,1,0.5,1,0.5,1,0.5,20,10.0,2,0.09859913793103448,0.146374829001368
Adriano Enrique Tarditi,31,10.333333333333334,11,3.6666666666666665,2,0.6666666666666666,1,0.3333333333333333,4,1.3333333333333333,8,2.6666666666666665,2,0.6666666666666666,3,1.0,45,15.0,3,0.22260460678751534,0.09533267130089373
Adriano Tarditi	,32,16.0,13,6.5,3,1.5,5,2.5,3,1.5,10,5.0,1,0.5,0,0.0,53,26.5,2,0.2398989898989899,0.18855534709193245
Agromartin Joaquin,3,1.5,10,5.0,2,1.0,3,1.5,3,1.5,1,0.5,0,0.0,0,0.0,18,9.0,2,0.05555555555555555,0.16666666666666669
"Aguirre, Pablo",5,2.5,11,5.5,3,1.5,1,0.5,5,2.5,0,0.0,2,1.0,1,0.5,20,10.0,2,0.09188034188034187,0.1218602825745683
"Aguirre, Pablo	",4,2.0,9,4.5,0,0.0,0,0.0,1,0.5,0,0.0,2,1.0,0,0.0,13,6.5,2,0.03278688524590164,0.11559139784946236
Agustin Ariel Batto,10,5.0,17,8.5,3,1.5,2,1.0,3,1.5,1,0.5,2,1.0,3,1.5,32,16.0,2,0.14179818268770922,0.18929450369155046
Agustin Bertoli,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0.0
Agustin Bidone,3,1.5,4,2.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5,7,3.5,2,0.03125,0.04523809523809524
Agustin Bracco,9,4.5,9,4.5,4,2.0,1,0.5,0,0.0,0,0.0,4,2.0,1,0.5,23,11.5,2,0.10353535353535354,0.09225972120322817
Agustin Bracco 	,28,7.0,21,5.25,3,0.75,1,0.25,7,1.75,1,0.25,12,3.0,1,0.25,53,13.25,4,0.14655405405405406,0.10143777213352685
Agustin Bustos Valenzuela,38,12.666666666666666,38,12.666666666666666,4,1.3333333333333333,4,1.3333333333333333,5,1.6666666666666667,6,2.0,9,3.0,2,0.6666666666666666,84,28.0,3,0.28971597407548605,0.2504509379509379
Agustin Cabanay,6,6.0,11,11.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,0,0.0,17,17.0,1,0.125,0.24444444444444444
Agustin Cabanay	,17,5.666666666666667,8,2.6666666666666665,3,1.0,4,1.3333333333333333,3,1.0,0,0.0,5,1.6666666666666667,7,2.3333333333333335,32,10.666666666666666,3,0.17665339758363016,0.11292851292851293
Agustin Capurro,9,3.0,5,1.6666666666666667,1,0.3333333333333333,1,0.3333333333333333,3,1.0,1,0.3333333333333333,2,0.6666666666666666,2,0.6666666666666666,16,5.333333333333333,3,0.0689064558629776,0.03898745519713261
Agustin Cason,7,2.3333333333333335,10,3.3333333333333335,3,1.0,0,0.0,2,0.6666666666666666,0,0.0,3,1.0,1,0.3333333333333333,20,6.666666666666667,3,0.09107155198799403,0.07394957983193277
Agustin Comolli,4,2.0,9,4.5,2,1.0,2,1.0,4,2.0,0,0.0,2,1.0,0,0.0,17,8.5,2,0.04337474120082816,0.08197463768115942
