torneo,categoria,fecha_fixture,match_id,date,location,team,puntos,rebotes,asistencias,robos,fouls,triples,dobles,libres,score_global,dispersion_score_global,picture_bagde
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,SOCIALES,40,46,10,9,17,5,7,11,105,3.24037034920393,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,TEMPUR,50,41,10,15,15,5,14,7,116,9.943476619006416,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,JIMMY GANG,45,34,2,6,10,5,15,0,87,3.8887301554906353,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,2,2026-01-11T03:00:00.000Z,PICK,UDESA OT,52,36,4,5,5,5,14,9,97,8.043409014306594,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,34,42,1,3,5,4,10,2,80,3.80058475033046,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,3,2026-01-11T03:00:00.000Z,PICK,GIUFFRA,30,44,1,7,11,0,15,0,82,9.225568335398698,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,BAZOOKA,60,45,2,5,17,6,13,16,112,12.191071414039959,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,4,2026-01-11T03:00:00.000Z,PICK,LOS CONOS,50,36,3,6,23,2,17,10,95,5.212165257037297,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,JIMMY GANG,69,35,0,3,17,9,13,16,107,10.636023693091325,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,5,2026-01-18T03:00:00.000Z,PICK,SOCIALES,59,41,2,7,21,9,13,6,109,6.0635523141692,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,49,39,21,4,21,7,11,6,113,5.86915408700178,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,6,2026-01-19T03:00:00.000Z,sin lugar,LOS CONOS,66,39,22,11,28,7,17,11,138,5.902918298980975,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,BAZOOKA,62,48,14,10,20,6,13,18,134,14.871299726505264,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,7,2026-01-19T03:00:00.000Z,sin lugar,GIUFFRA,54,46,11,6,26,6,12,12,117,9.861771922659003,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,8,2026-01-20T03:00:00.000Z,PICK,TEMPUR,56,55,1,9,16,5,16,9,121,4.440686542607682,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 2,8,2026-01-20T03:00:00.000Z,PICK,UDESA OT,15,16,0,2,11,1,2,8,33,3.593976442141304,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 3,9,sin fecha,sin lugar,BAZOOKA,51,38,4,4,20,1,20,8,97,5.165053511608353,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 3,9,sin fecha,sin lugar,CLUB SOCIAL Y DEPORTIVO JUSTICIALISTA,35,47,0,7,18,2,11,7,89,4.011347540529128,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 3,10,sin fecha,sin lugar,GIUFFRA,46,47,2,7,15,1,17,9,102,11.183320914051722,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 3,10,sin fecha,sin lugar,LOS CONOS,55,46,5,11,15,6,15,7,117,6.634087059355727,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 3,11,sin fecha,sin lugar,SOCIALES,38,42,0,3,12,5,10,3,83,4.137900702315393,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png
