torneo,categoria,fecha_fixture,match_id,date,location,team,picture_bagde,Jugador,puntos,rebotes,asistencias,robos,fouls,triples,dobles,libres,status,picture
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,SOCIALES,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Ezequiel Rozenfarb	,1,6,2,2,0,0,0,1,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,SOCIALES,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Ignacio Gertie	,4,6,1,1,0,0,2,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,SOCIALES,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Santiago Barros	,3,2,2,1,2,1,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,SOCIALES,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Joaquín Fortuny	,3,2,1,0,2,1,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,SOCIALES,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Mateo Biaziso	,5,1,1,0,2,1,0,2,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,SOCIALES,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Tomás Villalba	,5,3,0,1,4,0,1,3,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,SOCIALES,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Facundo Torres	,4,11,1,0,1,0,1,2,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,SOCIALES,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Guido Ignacio Crespín	,6,2,1,1,1,1,1,1,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,SOCIALES,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Gonzalo Di Rosa	,4,8,1,2,5,1,0,1,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,SOCIALES,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Augusto Fortunato	,5,5,0,1,0,0,2,1,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,TEMPUR,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,⁠Leandro Avruj,2,3,0,0,2,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,TEMPUR,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Matias Cwik,2,1,0,0,0,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,TEMPUR,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Sebastian Zalcman,0,0,0,0,1,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,TEMPUR,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Iván Wilhelm,1,0,1,0,2,0,0,1,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,TEMPUR,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png, Matias Landsberg,2,0,0,1,0,0,1,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,TEMPUR,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Sebastian Sirlin,9,11,3,4,1,1,2,2,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,TEMPUR,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Federico Teper,3,8,0,4,3,1,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,TEMPUR,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Nicolas Chamo,9,8,3,3,1,0,4,1,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
SUMMER LEAGUE 2026,PRIMERA A,Fecha 1,1,sin fecha,sin lugar,TEMPUR,https://dum74chhmgug7.cloudfront.net/public/defaultBadge.png,Federico Lipsich,0,2,1,0,2,0,0,0,ok,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
