categoria,Jugador,puntos,asistencias,rebotes,libres,dobles,triples,robos,score_global,Partidos_Jugados,Rank_puntos_Categoria,Rank_asistencias_Categoria,Rank_rebotes_Categoria,Rank_libres_Categoria,Rank_dobles_Categoria,Rank_triples_Categoria,Rank_robos_Categoria,Rank_score_global_Categoria,Torneo,picture
PRIMERA A,",JOSE ANTONIO ESCALANTE",0.0,0.25,1.75,0.0,0.0,0.0,0.0,2.0,4,86,26,62,37,45,29,30,98,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA A,AARON PRZYBYTEK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/jhPVtZgPMDrAsA2WV9MbS4.jpg
PRIMERA A,ABRAHAM JORGE,3.0,0.0,5.0,1.0,1.0,0.0,0.0,8.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA A,AGUSTIN ARIEL BATTO,5.0,1.5,8.5,1.5,1.0,0.5,1.0,16.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/cFZ3XQpyAR3r6iVaLReiMP.jpg
PRIMERA A,AGUSTIN BARROS,0.6666666666666666,0.0,5.333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,6.333333333333333,3,80,30,30,37,41,29,26,80,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA A,AGUSTIN CAPURRO,5.5,0.25,2.25,0.75,1.25,0.75,0.75,8.75,4,49,26,58,28,32,18,21,63,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/5fRMX3zQWCCi7jSdq1fxDA.jpg
PRIMERA A,AGUSTIN NADAL,2.3333333333333335,2.0,3.6666666666666665,1.0,0.6666666666666666,0.0,2.3333333333333335,10.333333333333334,3,67,5,44,26,38,29,6,53,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA A,AGUSTIN NEHUEN MARTINEZ,0.2,0.4,3.4,0.2,0.0,0.0,0.0,4.0,5,85,23,46,36,45,29,30,89,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/mUuS9Y9DKYcQ3HC376qzPq.jpg
PRIMERA A,AGUSTIN SAMOS,3.25,1.0,4.0,1.25,1.0,0.0,1.25,9.5,4,61,15,40,23,33,29,14,59,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA A,ALAN AGUSTIN SIO LOPEZ,10.4,0.6,3.4,0.6,2.8,1.4,1.2,15.6,5,17,21,46,30,15,13,15,30,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/mUuS9Y9DKYcQ3HC376qzPq.jpg
PRIMERA A,ALAN BENDUYA,12.0,0.3333333333333333,5.666666666666667,6.333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,18.666666666666668,3,11,25,27,2,20,23,22,18,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA A,ALAN BERLINER,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA A,ALAN BERMAN,5.0,0.0,1.5,0.0,1.0,1.0,1.0,7.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA A,ALAN GUILLERMO AARON GODOY,3.25,0.5,4.25,0.0,1.25,0.25,0.25,8.25,4,61,22,39,37,32,25,27,68,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA A,ALBERTO NICOLAS MENDEZ,4.0,0.0,2.5,0.0,2.0,0.0,0.0,6.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
PRIMERA A,ALEJO LOPEZ,10.75,0.25,4.75,2.0,3.25,0.75,0.25,16.0,4,14,26,34,14,12,18,27,28,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/inbJiMpBtjobkqXKrD37bZ.JPG
