Jugador,puntos,asistencias,rebotes,libres,dobles,triples,robos,score_global,Partidos_Jugados,Rank_puntos_Total,Rank_asistencias_Total,Rank_rebotes_Total,Rank_libres_Total,Rank_dobles_Total,Rank_triples_Total,Rank_robos_Total,Rank_score_global_Total,Torneo,picture
",JOSE ANTONIO ESCALANTE",0.0,0.25,1.75,0.0,0.0,0.0,0.0,2.0,4,246,83,175,89,133,86,95,331,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AARON PRZYBYTEK,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/jhPVtZgPMDrAsA2WV9MbS4.jpg
ABDUCH NEHUEN,1.6666666666666667,0.6666666666666666,2.0,0.0,0.3333333333333333,0.3333333333333333,1.0,5.333333333333333,3,219,66,168,89,124,75,57,289,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/e7838jvcQZUToDfSTP1j2U.jpg
ABRAHAM JORGE,3.0,0.0,5.0,1.0,1.0,0.0,0.0,8.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ACOSTA ADAN,3.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/mDDXR3AaZcKdychjJWQrdT.jpg
ACOSTA LEANDRO,4.333333333333333,1.0,3.3333333333333335,0.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,10.0,3,171,52,131,77,133,35,44,211,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
"ACOSTA, GONZALO",9.0,0.25,6.5,0.5,2.0,1.5,1.0,16.75,4,93,83,62,72,75,32,57,113,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
"ADAMINI, JONATHAN ADRIAN",7.5,1.0,5.5,0.0,3.0,0.5,0.0,14.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ADAN ACOSTA,8.6,1.2,2.6,0.4,0.8,2.2,1.2,13.6,5,99,43,153,75,113,18,48,154,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/6gWTpLC5Hs5FCmdtoY1cEr.jpg
ADOLFO ROCHA,2.0,1.0,2.0,0.0,1.0,0.0,0.0,5.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ADOLFO RODRIGUEZ,3.0,0.0,5.0,0.5,0.5,0.5,0.0,8.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ADONIS GOMEZ,4.75,0.75,3.25,0.0,2.0,0.25,1.75,10.5,4,162,63,133,89,75,78,29,202,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
ADRIAN NERI BONDARUK,3.0,0.0,7.0,0.5,0.5,0.5,0.0,10.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/je6Mtv6Fvg67UbuHH93pv7.jpg
ADRIANO ENRIQUE TARDITI,14.0,0.5,5.0,0.75,1.75,3.25,0.25,19.75,4,39,74,85,62,83,8,89,81,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/eZymfVPVvAHKPseznuvRLU.jpg
ADRIANO TARDITI,16.0,1.5,6.5,0.0,0.5,5.0,2.5,26.5,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGROMARTIN JOAQUIN,1.5,1.0,5.0,0.0,0.0,0.5,1.5,9.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
"AGUIRRE, PABLO",2.25,0.75,5.0,0.25,1.0,0.0,0.25,8.25,4,209,63,85,82,109,86,89,241,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/jggd1CoVZ4D3zoWwTJNApi.jpg
AGUSTIN ARES,5.0,0.75,4.0,0.25,0.5,1.25,1.25,11.0,4,159,63,108,82,120,38,47,194,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN ARIEL BATTO,5.0,1.5,8.5,1.5,1.0,0.5,1.0,16.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/cFZ3XQpyAR3r6iVaLReiMP.jpg
AGUSTIN BARROS,0.6333333333333333,0.1,4.366666666666666,0.1,0.26666666666666666,0.0,0.26666666666666666,5.366666666666667,8,239,87,100,87,127,86,88,287,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN BELTRAMINO,2.5,0.5,3.0,1.5,0.5,0.0,0.0,6.0,2,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
AGUSTIN BERTOLI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/sX396k8M2GTjZDf8CSMYzr.jpg
AGUSTIN BIDONE,1.75,0.1,2.3,0.25,0.75,0.0,0.2,4.35,7,218,87,161,82,114,86,90,304,TORNEO APERTURA 2026,https://dum74chhmgug7.cloudfront.net/public/defaultPlayer.png
